,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BC02 Monday ,2024-03-10T10:32:25.000,39.156198095,-84.548479247,74.0,,,,
2,BC02 Monday ,2024-03-10T10:32:25.000,39.156196952,-84.548475166,74.0,0.0,,,
3,BC02 Monday ,2024-03-10T10:32:25.000,39.156198095,-84.548479247,,0.0,0.0,,
4,BC02 Monday ,2024-03-10T10:32:25.000,39.156196952,-84.548475166,,,0.0,0.0,
5,BC02 Monday ,2024-03-10T10:32:25.000,39.156198095,-84.548479247,,,,0.0,
6,BC02 Monday ,2024-03-10T10:32:25.000,39.156196952,-84.548475166,,,,,46.0
7,BC02 Monday ,2024-03-10T10:32:25.000,39.156198095,-84.548479247,,,,,48.0
8,BC02 Monday ,2024-03-10T10:32:26.000,39.15619753,-84.548479703,74.0,0.0,0.0,0.0,48.0
9,BC02 Monday ,2024-03-10T10:32:27.000,39.156194194,-84.548480257,74.0,0.0,0.0,0.0,48.0
10,BC02 Monday ,2024-03-10T10:32:28.000,39.15619223,-84.548478366,74.0,0.0,0.0,0.0,48.0
11,BC02 Monday ,2024-03-10T10:32:29.000,39.156193657,-84.548476235,74.0,0.0,0.0,0.0,48.0
12,BC02 Monday ,2024-03-10T10:32:30.000,39.156193672,-84.548476053,74.0,0.0,0.0,0.0,48.0
13,BC02 Monday ,2024-03-10T10:32:31.000,39.156194205,-84.548474794,74.0,0.0,0.0,0.0,48.0
14,BC02 Monday ,2024-03-10T10:32:32.000,39.156195852,-84.548473185,74.0,0.0,0.0,0.0,48.0
15,BC02 Monday ,2024-03-10T10:32:33.000,39.156197872,-84.548468468,74.0,0.0,0.0,0.0,48.0
16,BC02 Monday ,2024-03-10T10:32:34.000,39.156198414,-84.548467731,74.0,0.0,0.0,0.0,47.0
17,BC02 Monday ,2024-03-10T10:32:35.000,39.156198143,-84.548465396,74.0,0.0,0.0,0.0,47.0
18,BC02 Monday ,2024-03-10T10:32:36.000,39.156198613,-84.548466005,74.0,0.0,0.0,0.0,47.0
19,BC02 Monday ,2024-03-10T10:32:37.000,39.156199821,-84.548463578,74.0,0.0,0.0,0.0,47.0
20,BC02 Monday ,2024-03-10T10:32:38.000,39.156200671,-84.548463956,74.0,0.0,0.0,0.0,47.0
21,BC02 Monday ,2024-03-10T10:32:39.000,39.156201026,-84.548464469,74.0,0.0,0.0,0.0,47.0
22,BC02 Monday ,2024-03-10T10:32:40.000,39.156199916,-84.548468023,74.0,0.0,0.0,0.0,47.0
23,BC02 Monday ,2024-03-10T10:32:41.000,39.156199463,-84.548471528,74.0,0.0,0.0,0.0,47.0
24,BC02 Monday ,2024-03-10T10:32:42.000,39.156198784,-84.548471248,74.0,0.0,0.0,0.0,47.0
25,BC02 Monday ,2024-03-10T10:32:43.000,39.156198613,-84.548469212,74.0,0.0,0.0,0.0,47.0
26,BC02 Monday ,2024-03-10T10:32:44.000,39.156199853,-84.548471108,74.0,0.0,0.0,0.0,47.0
27,BC02 Monday ,2024-03-10T10:32:45.000,39.156197282,-84.548471414,74.0,0.0,0.0,0.0,47.0
28,BC02 Monday ,2024-03-10T10:32:46.000,39.156197004,-84.548472124,74.0,0.0,0.0,0.0,46.0
29,BC02 Monday ,2024-03-10T10:32:47.000,39.156196318,-84.548472606,74.0,0.0,0.0,0.0,46.0
30,BC02 Monday ,2024-03-10T10:32:48.000,39.156195379,-84.548472206,74.0,0.0,0.0,0.0,46.0
31,BC02 Monday ,2024-03-10T10:32:49.000,39.156191946,-84.548472068,74.0,0.0,0.0,0.0,46.0
32,BC02 Monday ,2024-03-10T10:32:50.000,39.15619036,-84.548471627,74.0,0.0,0.0,0.0,46.0
33,BC02 Monday ,2024-03-10T10:32:51.000,39.156188388,-84.548475423,74.0,0.0,0.0,0.0,46.0
34,BC02 Monday ,2024-03-10T10:32:52.000,39.156189836,-84.548479881,74.0,0.0,0.0,0.0,46.0
35,BC02 Monday ,2024-03-10T10:32:53.000,39.156188288,-84.548481048,74.0,0.0,0.0,0.0,45.0
36,BC02 Monday ,2024-03-10T10:32:54.000,39.156188672,-84.548480121,74.0,0.0,0.0,0.0,45.0
37,BC02 Monday ,2024-03-10T10:32:55.000,39.15618497,-84.548478898,75.0,0.0,0.0,0.0,45.0
38,BC02 Monday ,2024-03-10T10:32:56.000,39.156187896,-84.548481758,75.0,0.0,0.0,0.0,45.0
39,BC02 Monday ,2024-03-10T10:32:57.000,39.156185661,-84.548484104,75.0,0.0,0.0,0.0,45.0
40,BC02 Monday ,2024-03-10T10:32:58.000,39.156183835,-84.548485687,75.0,0.0,0.0,0.0,45.0
41,BC02 Monday ,2024-03-10T10:32:59.000,39.156184752,-84.548485747,75.0,0.0,0.0,0.0,45.0
42,BC02 Monday ,2024-03-10T10:33:00.000,39.15618484,-84.548481897,75.0,0.0,0.0,0.0,45.0
43,BC02 Monday ,2024-03-10T10:33:01.000,39.156184806,-84.548481259,75.0,0.0,0.0,0.0,45.0
44,BC02 Monday ,2024-03-10T10:33:02.000,39.156184891,-84.548482119,75.0,0.0,0.0,0.0,45.0
45,BC02 Monday ,2024-03-10T10:33:03.000,39.1561823,-84.548484612,75.0,0.0,0.0,0.0,45.0
46,BC02 Monday ,2024-03-10T10:33:04.000,39.156182602,-84.548480562,75.0,0.0,0.0,0.0,45.0
47,BC02 Monday ,2024-03-10T10:33:05.000,39.156183045,-84.548478952,75.0,0.0,0.0,0.0,45.0
48,BC02 Monday ,2024-03-10T10:33:06.000,39.156183439,-84.548476903,75.0,0.0,0.0,0.0,45.0
49,BC02 Monday ,2024-03-10T10:33:07.000,39.156184525,-84.548475959,75.0,0.0,0.0,0.0,46.0
50,BC02 Monday ,2024-03-10T10:33:08.000,39.156185864,-84.548476665,75.0,0.0,0.0,0.0,46.0
51,BC02 Monday ,2024-03-10T10:33:09.000,39.156185849,-84.548476209,75.0,0.0,0.0,0.0,46.0
52,BC02 Monday ,2024-03-10T10:33:10.000,39.156185217,-84.548478901,75.0,0.0,0.0,0.0,46.0
53,BC02 Monday ,2024-03-10T10:33:11.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,46.0
54,BC02 Monday ,2024-03-10T10:33:12.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,46.0
55,BC02 Monday ,2024-03-10T10:33:13.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,46.0
56,BC02 Monday ,2024-03-10T10:33:14.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,45.0
57,BC02 Monday ,2024-03-10T10:33:15.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,46.0
58,BC02 Monday ,2024-03-10T10:33:16.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,45.0
59,BC02 Monday ,2024-03-10T10:33:17.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,45.0
60,BC02 Monday ,2024-03-10T10:33:18.000,39.156185896,-84.548479233,75.0,0.0,0.0,0.0,45.0
61,BC02 Monday ,2024-03-10T10:33:19.000,39.156184605,-84.548477362,75.0,0.0,0.0,0.0,45.0
62,BC02 Monday ,2024-03-10T10:33:20.000,39.156185966,-84.548478815,75.0,0.0,0.0,0.0,45.0
63,BC02 Monday ,2024-03-10T10:33:21.000,39.156187924,-84.548475249,75.0,0.0,0.0,0.0,45.0
64,BC02 Monday ,2024-03-10T10:33:22.000,39.156188503,-84.548470923,75.0,0.0,0.0,0.0,45.0
65,BC02 Monday ,2024-03-10T10:33:23.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
66,BC02 Monday ,2024-03-10T10:33:24.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
67,BC02 Monday ,2024-03-10T10:33:25.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
68,BC02 Monday ,2024-03-10T10:33:26.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
69,BC02 Monday ,2024-03-10T10:33:27.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
70,BC02 Monday ,2024-03-10T10:33:28.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
71,BC02 Monday ,2024-03-10T10:33:29.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
72,BC02 Monday ,2024-03-10T10:33:30.000,39.156189234,-84.548469977,75.0,0.0,0.0,0.0,45.0
73,BC02 Monday ,2024-03-10T10:33:31.000,39.156189571,-84.548463494,75.0,0.0,0.0,0.0,45.0
74,BC02 Monday ,2024-03-10T10:33:32.000,39.156191019,-84.548464047,75.0,0.0,0.0,0.0,45.0
75,BC02 Monday ,2024-03-10T10:33:33.000,39.156192942,-84.548462584,75.0,0.0,0.0,0.0,45.0
76,BC02 Monday ,2024-03-10T10:33:34.000,39.156191913,-84.548466704,75.0,0.0,0.0,0.0,45.0
77,BC02 Monday ,2024-03-10T10:33:35.000,39.15619348,-84.548473181,75.0,0.0,0.0,0.0,45.0
78,BC02 Monday ,2024-03-10T10:33:36.000,39.156195521,-84.548477827,75.0,0.0,0.0,0.0,45.0
79,BC02 Monday ,2024-03-10T10:33:37.000,39.156197122,-84.548482866,75.0,0.0,0.0,0.0,45.0
80,BC02 Monday ,2024-03-10T10:33:38.000,39.156194762,-84.548486846,75.0,0.0,0.0,0.0,45.0
81,BC02 Monday ,2024-03-10T10:33:39.000,39.156192025,-84.548495604,75.0,0.0,0.0,0.0,45.0
82,BC02 Monday ,2024-03-10T10:33:40.000,39.156189863,-84.548500668,76.0,0.0,0.0,0.0,46.0
83,BC02 Monday ,2024-03-10T10:33:41.000,39.156190065,-84.548503112,75.0,0.0,0.0,0.0,46.0
84,BC02 Monday ,2024-03-10T10:33:42.000,39.156190843,-84.548506673,76.0,0.0,0.0,0.0,46.0
85,BC02 Monday ,2024-03-10T10:33:43.000,39.156190578,-84.548507139,76.0,0.0,0.0,0.0,46.0
86,BC02 Monday ,2024-03-10T10:33:44.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,46.0
87,BC02 Monday ,2024-03-10T10:33:45.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,46.0
88,BC02 Monday ,2024-03-10T10:33:46.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,46.0
89,BC02 Monday ,2024-03-10T10:33:47.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,46.0
90,BC02 Monday ,2024-03-10T10:33:48.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,45.0
91,BC02 Monday ,2024-03-10T10:33:49.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,45.0
92,BC02 Monday ,2024-03-10T10:33:50.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,45.0
93,BC02 Monday ,2024-03-10T10:33:51.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,45.0
94,BC02 Monday ,2024-03-10T10:33:52.000,39.156189488,-84.548508683,76.0,0.0,0.0,0.0,44.0
95,BC02 Monday ,2024-03-10T10:33:53.000,39.156185125,-84.548508506,76.0,0.0,0.0,0.0,44.0
96,BC02 Monday ,2024-03-10T10:33:54.000,39.156184041,-84.548505825,76.0,0.0,0.0,0.0,44.0
97,BC02 Monday ,2024-03-10T10:33:55.000,39.156180891,-84.548503926,76.0,0.0,0.0,0.0,44.0
98,BC02 Monday ,2024-03-10T10:33:56.000,39.156180089,-84.548503689,76.0,0.0,0.0,0.0,44.0
99,BC02 Monday ,2024-03-10T10:33:57.000,39.156182155,-84.548500874,76.0,0.0,0.0,0.0,44.0
100,BC02 Monday ,2024-03-10T10:33:58.000,39.156183707,-84.548499776,76.0,0.0,0.0,0.0,44.0
101,BC02 Monday ,2024-03-10T10:33:59.000,39.156184485,-84.548496653,76.0,0.0,0.0,0.0,44.0
102,BC02 Monday ,2024-03-10T10:34:00.000,39.156186004,-84.548494876,76.0,0.0,0.0,0.0,44.0
103,BC02 Monday ,2024-03-10T10:34:01.000,39.156183362,-84.5484936,76.0,0.0,0.0,0.0,44.0
104,BC02 Monday ,2024-03-10T10:34:02.000,39.156182365,-84.548494035,76.0,0.0,0.0,0.0,43.0
105,BC02 Monday ,2024-03-10T10:34:03.000,39.156181363,-84.548494292,76.0,0.0,0.0,0.0,43.0
106,BC02 Monday ,2024-03-10T10:34:04.000,39.156184788,-84.548492629,76.0,0.0,0.0,0.0,43.0
107,BC02 Monday ,2024-03-10T10:34:05.000,39.156190203,-84.548490712,76.0,0.0,0.0,0.0,43.0
108,BC02 Monday ,2024-03-10T10:34:06.000,39.156194172,-84.548487438,76.0,0.0,0.0,0.0,43.0
109,BC02 Monday ,2024-03-10T10:34:07.000,39.15619622,-84.548485879,76.0,0.0,0.0,0.0,44.0
110,BC02 Monday ,2024-03-10T10:34:09.000,39.15619779,-84.548485555,76.0,0.0,0.0,0.0,45.0
111,BC02 Monday ,2024-03-10T10:34:10.000,39.156203002,-84.548475757,76.0,,,,
112,BC02 Monday ,2024-03-10T10:34:10.000,39.156200298,-84.548483395,76.0,,,,
113,BC02 Monday ,2024-03-10T10:34:10.000,39.156203002,-84.548475757,,0.0,,,
114,BC02 Monday ,2024-03-10T10:34:10.000,39.156200298,-84.548483395,,0.0,0.0,,
115,BC02 Monday ,2024-03-10T10:34:10.000,39.156203002,-84.548475757,,,0.0,0.0,
116,BC02 Monday ,2024-03-10T10:34:10.000,39.156200298,-84.548483395,,,,0.0,46.0
117,BC02 Monday ,2024-03-10T10:34:10.000,39.156203002,-84.548475757,,,,,46.0
118,BC02 Monday ,2024-03-10T10:34:11.000,39.156202601,-84.548478495,76.0,0.0,0.0,0.0,46.0
119,BC02 Monday ,2024-03-10T10:34:13.000,39.156204095,-84.548479199,76.0,,,,
120,BC02 Monday ,2024-03-10T10:34:13.000,39.156204904,-84.548480255,76.0,0.0,,,
121,BC02 Monday ,2024-03-10T10:34:13.000,39.156204095,-84.548479199,,0.0,,,
122,BC02 Monday ,2024-03-10T10:34:13.000,39.156204904,-84.548480255,,,0.0,,
123,BC02 Monday ,2024-03-10T10:34:13.000,39.156204095,-84.548479199,,,0.0,,
124,BC02 Monday ,2024-03-10T10:34:13.000,39.156204904,-84.548480255,,,,0.0,
125,BC02 Monday ,2024-03-10T10:34:13.000,39.156204095,-84.548479199,,,,0.0,46.0
126,BC02 Monday ,2024-03-10T10:34:13.000,39.156204904,-84.548480255,,,,,46.0
127,BC02 Monday ,2024-03-10T10:34:15.000,39.156204988,-84.548480908,76.0,0.0,0.0,0.0,45.0
128,BC02 Monday ,2024-03-10T10:34:16.000,39.156203915,-84.548482018,76.0,,,,
129,BC02 Monday ,2024-03-10T10:34:16.000,39.156205633,-84.548479826,76.0,,,,
130,BC02 Monday ,2024-03-10T10:34:16.000,39.156203915,-84.548482018,,0.0,,,
131,BC02 Monday ,2024-03-10T10:34:16.000,39.156205633,-84.548479826,,0.0,0.0,,
132,BC02 Monday ,2024-03-10T10:34:16.000,39.156203915,-84.548482018,,,0.0,,
133,BC02 Monday ,2024-03-10T10:34:16.000,39.156205633,-84.548479826,,,,0.0,
134,BC02 Monday ,2024-03-10T10:34:16.000,39.156203915,-84.548482018,,,,0.0,
135,BC02 Monday ,2024-03-10T10:34:16.000,39.156205633,-84.548479826,,,,,44.0
136,BC02 Monday ,2024-03-10T10:34:16.000,39.156203915,-84.548482018,,,,,45.0
137,BC02 Monday ,2024-03-10T10:34:18.000,39.156209179,-84.548480617,76.0,0.0,0.0,0.0,44.0
138,BC02 Monday ,2024-03-10T10:34:19.000,39.156209827,-84.548485343,76.0,,,,
139,BC02 Monday ,2024-03-10T10:34:19.000,39.156208776,-84.548486861,76.0,,,,
140,BC02 Monday ,2024-03-10T10:34:19.000,39.156209827,-84.548485343,,0.0,,,
141,BC02 Monday ,2024-03-10T10:34:19.000,39.156208776,-84.548486861,,0.0,,,
142,BC02 Monday ,2024-03-10T10:34:19.000,39.156209827,-84.548485343,,,0.0,,
143,BC02 Monday ,2024-03-10T10:34:19.000,39.156208776,-84.548486861,,,0.0,,
144,BC02 Monday ,2024-03-10T10:34:19.000,39.156209827,-84.548485343,,,,0.0,
145,BC02 Monday ,2024-03-10T10:34:19.000,39.156208776,-84.548486861,,,,0.0,43.0
146,BC02 Monday ,2024-03-10T10:34:19.000,39.156209827,-84.548485343,,,,,44.0
147,BC02 Monday ,2024-03-10T10:34:21.000,39.156208789,-84.548495425,76.0,0.0,0.0,0.0,43.0
148,BC02 Monday ,2024-03-10T10:34:22.000,39.156205742,-84.548491245,76.0,,,,
149,BC02 Monday ,2024-03-10T10:34:22.000,39.156209663,-84.548492299,76.0,,,,
150,BC02 Monday ,2024-03-10T10:34:22.000,39.156205742,-84.548491245,,0.0,,,
151,BC02 Monday ,2024-03-10T10:34:22.000,39.156209663,-84.548492299,,0.0,,,
152,BC02 Monday ,2024-03-10T10:34:22.000,39.156205742,-84.548491245,,,0.0,,
153,BC02 Monday ,2024-03-10T10:34:22.000,39.156209663,-84.548492299,,,0.0,,
154,BC02 Monday ,2024-03-10T10:34:22.000,39.156205742,-84.548491245,,,,0.0,
155,BC02 Monday ,2024-03-10T10:34:22.000,39.156209663,-84.548492299,,,,0.0,
156,BC02 Monday ,2024-03-10T10:34:22.000,39.156205742,-84.548491245,,,,,42.0
157,BC02 Monday ,2024-03-10T10:34:22.000,39.156209663,-84.548492299,,,,,43.0
158,BC02 Monday ,2024-03-10T10:34:24.000,39.156203529,-84.548488708,76.0,0.0,0.0,0.0,42.0
159,BC02 Monday ,2024-03-10T10:34:25.000,39.156201438,-84.548491336,76.0,,,,
160,BC02 Monday ,2024-03-10T10:34:25.000,39.156199772,-84.548495239,76.0,,,,
161,BC02 Monday ,2024-03-10T10:34:25.000,39.156201438,-84.548491336,,0.0,,,
162,BC02 Monday ,2024-03-10T10:34:25.000,39.156199772,-84.548495239,,0.0,0.0,,
163,BC02 Monday ,2024-03-10T10:34:25.000,39.156201438,-84.548491336,,,0.0,,
164,BC02 Monday ,2024-03-10T10:34:25.000,39.156199772,-84.548495239,,,,0.0,
165,BC02 Monday ,2024-03-10T10:34:25.000,39.156201438,-84.548491336,,,,0.0,
166,BC02 Monday ,2024-03-10T10:34:25.000,39.156199772,-84.548495239,,,,,41.0
167,BC02 Monday ,2024-03-10T10:34:25.000,39.156201438,-84.548491336,,,,,42.0
168,BC02 Monday ,2024-03-10T10:34:27.000,39.156200058,-84.548497319,76.0,0.0,0.0,0.0,41.0
169,BC02 Monday ,2024-03-10T10:34:28.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,41.0
170,BC02 Monday ,2024-03-10T10:34:30.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,41.0
171,BC02 Monday ,2024-03-10T10:34:31.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,41.0
172,BC02 Monday ,2024-03-10T10:34:32.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
173,BC02 Monday ,2024-03-10T10:34:34.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
174,BC02 Monday ,2024-03-10T10:34:36.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
175,BC02 Monday ,2024-03-10T10:34:37.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
176,BC02 Monday ,2024-03-10T10:34:39.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
177,BC02 Monday ,2024-03-10T10:34:40.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
178,BC02 Monday ,2024-03-10T10:34:41.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
179,BC02 Monday ,2024-03-10T10:34:43.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
180,BC02 Monday ,2024-03-10T10:34:45.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,40.0
181,BC02 Monday ,2024-03-10T10:34:46.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
182,BC02 Monday ,2024-03-10T10:34:47.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
183,BC02 Monday ,2024-03-10T10:34:49.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
184,BC02 Monday ,2024-03-10T10:34:51.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
185,BC02 Monday ,2024-03-10T10:34:52.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
186,BC02 Monday ,2024-03-10T10:34:54.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
187,BC02 Monday ,2024-03-10T10:34:55.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
188,BC02 Monday ,2024-03-10T10:34:57.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
189,BC02 Monday ,2024-03-10T10:34:58.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
190,BC02 Monday ,2024-03-10T10:34:59.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,39.0
191,BC02 Monday ,2024-03-10T10:35:01.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
192,BC02 Monday ,2024-03-10T10:35:03.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
193,BC02 Monday ,2024-03-10T10:35:04.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
194,BC02 Monday ,2024-03-10T10:35:06.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
195,BC02 Monday ,2024-03-10T10:35:07.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
196,BC02 Monday ,2024-03-10T10:35:08.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
197,BC02 Monday ,2024-03-10T10:35:10.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
198,BC02 Monday ,2024-03-10T10:35:11.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
199,BC02 Monday ,2024-03-10T10:35:13.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
200,BC02 Monday ,2024-03-10T10:35:15.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
201,BC02 Monday ,2024-03-10T10:35:16.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
202,BC02 Monday ,2024-03-10T10:35:17.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
203,BC02 Monday ,2024-03-10T10:35:19.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
204,BC02 Monday ,2024-03-10T10:35:20.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
205,BC02 Monday ,2024-03-10T10:35:22.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
206,BC02 Monday ,2024-03-10T10:35:23.000,39.156198784,-84.548495651,77.0,0.0,0.0,0.0,38.0
207,BC02 Monday ,2024-03-10T10:35:25.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
208,BC02 Monday ,2024-03-10T10:35:27.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
209,BC02 Monday ,2024-03-10T10:35:28.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
210,BC02 Monday ,2024-03-10T10:35:30.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
211,BC02 Monday ,2024-03-10T10:35:31.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
212,BC02 Monday ,2024-03-10T10:35:32.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
213,BC02 Monday ,2024-03-10T10:35:34.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
214,BC02 Monday ,2024-03-10T10:35:35.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
215,BC02 Monday ,2024-03-10T10:35:36.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
216,BC02 Monday ,2024-03-10T10:35:37.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
217,BC02 Monday ,2024-03-10T10:35:39.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
218,BC02 Monday ,2024-03-10T10:35:40.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
219,BC02 Monday ,2024-03-10T10:35:41.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
220,BC02 Monday ,2024-03-10T10:35:43.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
221,BC02 Monday ,2024-03-10T10:35:45.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
222,BC02 Monday ,2024-03-10T10:35:46.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
223,BC02 Monday ,2024-03-10T10:35:47.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
224,BC02 Monday ,2024-03-10T10:35:49.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
225,BC02 Monday ,2024-03-10T10:35:50.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
226,BC02 Monday ,2024-03-10T10:35:52.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
227,BC02 Monday ,2024-03-10T10:35:54.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
228,BC02 Monday ,2024-03-10T10:35:55.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
229,BC02 Monday ,2024-03-10T10:35:57.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
230,BC02 Monday ,2024-03-10T10:35:58.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
231,BC02 Monday ,2024-03-10T10:35:59.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
232,BC02 Monday ,2024-03-10T10:36:01.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,38.0
233,BC02 Monday ,2024-03-10T10:36:03.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
234,BC02 Monday ,2024-03-10T10:36:04.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
235,BC02 Monday ,2024-03-10T10:36:05.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
236,BC02 Monday ,2024-03-10T10:36:07.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
237,BC02 Monday ,2024-03-10T10:36:08.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
238,BC02 Monday ,2024-03-10T10:36:10.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
239,BC02 Monday ,2024-03-10T10:36:12.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
240,BC02 Monday ,2024-03-10T10:36:13.000,39.156198784,-84.548495651,78.0,0.0,0.0,0.0,37.0
