,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Bhr05 Wednesday ,2024-03-20T13:11:10.000,39.201478385,-84.457749388,74.93939,0.0,0.0,0.0,30.030304
2,Bhr05 Wednesday ,2024-03-20T13:12:10.000,39.201478385,-84.457749388,75.63333,0.0,0.0,0.0,30.0
3,Bhr05 Wednesday ,2024-03-20T13:13:10.000,39.201478385,-84.457749388,76.65,0.0,0.0,0.0,30.0
4,Bhr05 Wednesday ,2024-03-20T13:14:10.000,39.201478385,-84.457749388,77.666664,0.0,0.0,0.0,29.866667
5,Bhr05 Wednesday ,2024-03-20T13:15:10.000,39.201478385,-84.457749388,78.5,0.0,0.0,0.0,29.2
6,Bhr05 Wednesday ,2024-03-20T13:16:10.000,39.201478385,-84.457749388,79.22222,0.0,0.0,0.0,28.255556
7,Bhr05 Wednesday ,2024-03-20T13:17:10.000,39.201478385,-84.457749388,80.0,0.0,0.0,0.0,28.0
8,Bhr05 Wednesday ,2024-03-20T13:18:10.000,39.201478385,-84.457749388,80.75,0.0,0.0,0.0,27.533333
9,Bhr05 Wednesday ,2024-03-20T13:19:10.000,39.201478385,-84.457749388,81.15,0.0,0.0,0.0,26.533333
10,Bhr05 Wednesday ,2024-03-20T13:20:10.000,39.201478385,-84.457749388,82.0,0.0,0.0,0.0,26.083334
11,Bhr05 Wednesday ,2024-03-20T13:21:10.000,39.201478385,-84.457749388,82.3,0.0,0.0,0.0,26.0
12,Bhr05 Wednesday ,2024-03-20T13:22:10.000,39.201478385,-84.457749388,83.0,0.0,0.0,0.0,25.316668
13,Bhr05 Wednesday ,2024-03-20T13:23:10.000,39.201478385,-84.457749388,83.01667,0.06666667,0.06666667,0.06666667,25.0
14,Bhr05 Wednesday ,2024-03-20T13:24:10.000,39.201478385,-84.457749388,83.98333,0.0,0.0,0.0,24.5
15,Bhr05 Wednesday ,2024-03-20T13:25:10.000,39.201478385,-84.457749388,84.0,0.0,0.0,0.0,24.0
16,Bhr05 Wednesday ,2024-03-20T13:26:10.000,39.201478385,-84.457749388,84.0,0.0,0.0,0.0,24.0
17,Bhr05 Wednesday ,2024-03-20T13:27:10.000,39.201478385,-84.457749388,84.9,0.0,0.0,0.0,23.466667
18,Bhr05 Wednesday ,2024-03-20T13:28:10.000,39.201478385,-84.457749388,85.0,0.0,0.0,0.0,23.0
19,Bhr05 Wednesday ,2024-03-20T13:29:10.000,39.201478385,-84.457749388,85.0,0.0,0.0,0.0,23.0
20,Bhr05 Wednesday ,2024-03-20T13:30:10.000,39.201478385,-84.457749388,85.0,0.0,0.0,0.0,23.0
21,Bhr05 Wednesday ,2024-03-20T13:31:10.000,39.201478385,-84.457749388,85.584724,0.0,0.0,0.0,23.336111
22,Bhr05 Wednesday ,2024-03-20T13:32:10.000,39.201437006,-84.457598969,86.0,0.0,0.0,0.0,23.0
23,Bhr05 Wednesday ,2024-03-20T13:33:10.000,39.201437006,-84.457598969,86.0,0.0,0.0,0.0,23.0
24,Bhr05 Wednesday ,2024-03-20T13:34:10.000,39.201437006,-84.457598969,86.0,0.0,0.0,0.0,23.0
25,Bhr05 Wednesday ,2024-03-20T13:35:10.000,39.201437006,-84.457598969,86.0,0.0,0.0,0.0,23.0
26,Bhr05 Wednesday ,2024-03-20T13:36:10.000,39.201437006,-84.457598969,86.566666,0.0,0.0,0.0,23.0
27,Bhr05 Wednesday ,2024-03-20T13:37:10.000,39.201437006,-84.457598969,87.0,0.0,0.0,0.0,22.583334
28,Bhr05 Wednesday ,2024-03-20T13:38:10.000,39.201437006,-84.457598969,87.0,0.0,0.0,0.0,22.0
29,Bhr05 Wednesday ,2024-03-20T13:39:10.000,39.201437006,-84.457598969,87.0,0.0,0.0,0.0,22.0
30,Bhr05 Wednesday ,2024-03-20T13:40:10.000,39.201437006,-84.457598969,87.0,0.0,0.0,0.0,22.0
31,Bhr05 Wednesday ,2024-03-20T13:41:10.000,39.201459973,-84.457654331,87.0,0.0,0.0,0.0,22.0
32,Bhr05 Wednesday ,2024-03-20T13:42:10.000,39.201459973,-84.457654331,87.0,0.0,0.0,0.0,22.0
33,Bhr05 Wednesday ,2024-03-20T13:43:10.000,39.201459973,-84.457654331,87.0,0.0,0.0,0.0,22.0
34,Bhr05 Wednesday ,2024-03-20T13:44:10.000,39.201459973,-84.457654331,87.0,0.0,0.0,0.0,22.0
35,Bhr05 Wednesday ,2024-03-20T13:45:10.000,39.201459973,-84.457654331,87.36667,0.0,0.0,0.0,22.0
36,Bhr05 Wednesday ,2024-03-20T13:46:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
37,Bhr05 Wednesday ,2024-03-20T13:47:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
38,Bhr05 Wednesday ,2024-03-20T13:48:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
39,Bhr05 Wednesday ,2024-03-20T13:49:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
40,Bhr05 Wednesday ,2024-03-20T13:50:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
41,Bhr05 Wednesday ,2024-03-20T13:51:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
42,Bhr05 Wednesday ,2024-03-20T13:52:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
43,Bhr05 Wednesday ,2024-03-20T13:53:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
44,Bhr05 Wednesday ,2024-03-20T13:54:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
45,Bhr05 Wednesday ,2024-03-20T13:55:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,22.0
46,Bhr05 Wednesday ,2024-03-20T13:56:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,21.633333
47,Bhr05 Wednesday ,2024-03-20T13:57:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,21.4
48,Bhr05 Wednesday ,2024-03-20T13:58:10.000,39.201459973,-84.457654331,88.0,0.0,0.0,0.0,21.0
49,Bhr05 Wednesday ,2024-03-20T13:59:10.000,39.201459973,-84.457654331,88.01667,0.0,0.0,0.0,21.0
50,Bhr05 Wednesday ,2024-03-20T14:00:10.000,39.201468415,-84.457650822,88.6,0.0,0.0,0.0,21.0
51,Bhr05 Wednesday ,2024-03-20T14:01:10.000,39.201468415,-84.457650822,89.0,0.0,0.0,0.0,21.0
52,Bhr05 Wednesday ,2024-03-20T14:02:10.000,39.201468415,-84.457650822,89.0,0.0,0.0,0.0,21.0
53,Bhr05 Wednesday ,2024-03-20T14:03:10.000,39.201432382,-84.457632734,89.0,0.0,0.0,0.0,21.0
54,Bhr05 Wednesday ,2024-03-20T14:04:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,21.0
55,Bhr05 Wednesday ,2024-03-20T14:05:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,21.0
56,Bhr05 Wednesday ,2024-03-20T14:06:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,21.0
57,Bhr05 Wednesday ,2024-03-20T14:07:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,21.0
58,Bhr05 Wednesday ,2024-03-20T14:08:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,21.0
59,Bhr05 Wednesday ,2024-03-20T14:09:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,21.0
60,Bhr05 Wednesday ,2024-03-20T14:10:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,21.0
61,Bhr05 Wednesday ,2024-03-20T14:11:10.000,39.201441441,-84.457636217,89.0,0.0,0.0,0.0,20.933332
62,Bhr05 Wednesday ,2024-03-20T14:12:10.000,39.201441441,-84.457636217,89.066666,0.0,0.0,0.0,20.0
63,Bhr05 Wednesday ,2024-03-20T14:13:10.000,39.201441441,-84.457636217,89.96667,0.0,0.0,0.0,20.0
64,Bhr05 Wednesday ,2024-03-20T14:14:10.000,39.201441441,-84.457636217,90.0,0.0,0.0,0.0,20.0
65,Bhr05 Wednesday ,2024-03-20T14:15:10.000,39.201441441,-84.457636217,90.0,0.0,0.0,0.0,20.0
66,Bhr05 Wednesday ,2024-03-20T14:16:10.000,39.201441441,-84.457636217,90.0,0.0,0.0,0.0,20.0
67,Bhr05 Wednesday ,2024-03-20T14:17:10.000,39.201441441,-84.457636217,90.05,0.0,0.0,0.0,20.0
68,Bhr05 Wednesday ,2024-03-20T14:18:10.000,39.201441441,-84.457636217,90.933334,0.0,0.0,0.0,20.0
69,Bhr05 Wednesday ,2024-03-20T14:19:10.000,39.201441441,-84.457636217,91.0,0.0,0.0,0.0,20.0
70,Bhr05 Wednesday ,2024-03-20T14:20:10.000,39.201441441,-84.457636217,91.0,0.0,0.0,0.0,20.0
71,Bhr05 Wednesday ,2024-03-20T14:21:10.000,39.201441441,-84.457636217,91.0,0.0,0.0,0.0,20.0
72,Bhr05 Wednesday ,2024-03-20T14:22:10.000,39.201441441,-84.457636217,91.066666,0.0,0.0,0.0,19.15
73,Bhr05 Wednesday ,2024-03-20T14:23:10.000,39.201441441,-84.457636217,91.933334,0.0,0.0,0.0,19.25
74,Bhr05 Wednesday ,2024-03-20T14:24:10.000,39.201441441,-84.457636217,92.0,0.0,0.0,0.0,19.0
75,Bhr05 Wednesday ,2024-03-20T14:25:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,19.0
76,Bhr05 Wednesday ,2024-03-20T14:26:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,19.0
77,Bhr05 Wednesday ,2024-03-20T14:27:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,19.0
78,Bhr05 Wednesday ,2024-03-20T14:28:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,19.0
79,Bhr05 Wednesday ,2024-03-20T14:29:10.000,39.201463724,-84.457677147,92.22222,0.0,0.0,0.0,19.0
80,Bhr05 Wednesday ,2024-03-20T14:30:10.000,39.201463724,-84.457677147,92.933334,0.0,0.0,0.0,19.0
81,Bhr05 Wednesday ,2024-03-20T14:31:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,19.0
82,Bhr05 Wednesday ,2024-03-20T14:32:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,19.0
83,Bhr05 Wednesday ,2024-03-20T14:33:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,19.0
84,Bhr05 Wednesday ,2024-03-20T14:34:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,19.0
85,Bhr05 Wednesday ,2024-03-20T14:35:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.533333
86,Bhr05 Wednesday ,2024-03-20T14:36:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.084723
87,Bhr05 Wednesday ,2024-03-20T14:37:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.45
88,Bhr05 Wednesday ,2024-03-20T14:38:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
89,Bhr05 Wednesday ,2024-03-20T14:39:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
90,Bhr05 Wednesday ,2024-03-20T14:40:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
91,Bhr05 Wednesday ,2024-03-20T14:41:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
92,Bhr05 Wednesday ,2024-03-20T14:42:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
93,Bhr05 Wednesday ,2024-03-20T14:43:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
94,Bhr05 Wednesday ,2024-03-20T14:44:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
95,Bhr05 Wednesday ,2024-03-20T14:45:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
96,Bhr05 Wednesday ,2024-03-20T14:46:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
97,Bhr05 Wednesday ,2024-03-20T14:47:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
98,Bhr05 Wednesday ,2024-03-20T14:48:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
99,Bhr05 Wednesday ,2024-03-20T14:49:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
100,Bhr05 Wednesday ,2024-03-20T14:50:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
101,Bhr05 Wednesday ,2024-03-20T14:51:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
102,Bhr05 Wednesday ,2024-03-20T14:52:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
103,Bhr05 Wednesday ,2024-03-20T14:53:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
104,Bhr05 Wednesday ,2024-03-20T14:54:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
105,Bhr05 Wednesday ,2024-03-20T14:55:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
106,Bhr05 Wednesday ,2024-03-20T14:56:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
107,Bhr05 Wednesday ,2024-03-20T14:57:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
108,Bhr05 Wednesday ,2024-03-20T14:58:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
109,Bhr05 Wednesday ,2024-03-20T14:59:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
110,Bhr05 Wednesday ,2024-03-20T15:00:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
111,Bhr05 Wednesday ,2024-03-20T15:01:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
112,Bhr05 Wednesday ,2024-03-20T15:02:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
113,Bhr05 Wednesday ,2024-03-20T15:03:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
114,Bhr05 Wednesday ,2024-03-20T15:04:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
115,Bhr05 Wednesday ,2024-03-20T15:05:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
116,Bhr05 Wednesday ,2024-03-20T15:06:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
117,Bhr05 Wednesday ,2024-03-20T15:07:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
118,Bhr05 Wednesday ,2024-03-20T15:08:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
119,Bhr05 Wednesday ,2024-03-20T15:09:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
120,Bhr05 Wednesday ,2024-03-20T15:10:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
121,Bhr05 Wednesday ,2024-03-20T15:11:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
122,Bhr05 Wednesday ,2024-03-20T15:12:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
123,Bhr05 Wednesday ,2024-03-20T15:13:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
124,Bhr05 Wednesday ,2024-03-20T15:14:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
125,Bhr05 Wednesday ,2024-03-20T15:15:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
126,Bhr05 Wednesday ,2024-03-20T15:16:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
127,Bhr05 Wednesday ,2024-03-20T15:17:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
128,Bhr05 Wednesday ,2024-03-20T15:18:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
129,Bhr05 Wednesday ,2024-03-20T15:19:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
130,Bhr05 Wednesday ,2024-03-20T15:20:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
131,Bhr05 Wednesday ,2024-03-20T15:21:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
132,Bhr05 Wednesday ,2024-03-20T15:22:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
133,Bhr05 Wednesday ,2024-03-20T15:23:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
134,Bhr05 Wednesday ,2024-03-20T15:24:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
135,Bhr05 Wednesday ,2024-03-20T15:25:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
136,Bhr05 Wednesday ,2024-03-20T15:26:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
137,Bhr05 Wednesday ,2024-03-20T15:27:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
138,Bhr05 Wednesday ,2024-03-20T15:28:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
139,Bhr05 Wednesday ,2024-03-20T15:29:10.000,39.201463724,-84.457677147,93.0,0.0,0.0,0.0,18.0
140,Bhr05 Wednesday ,2024-03-20T15:30:10.000,39.201463724,-84.457677147,92.88333,0.0,0.0,0.0,18.0
141,Bhr05 Wednesday ,2024-03-20T15:31:10.000,39.201463724,-84.457677147,92.28333,0.0,0.0,0.0,18.0
142,Bhr05 Wednesday ,2024-03-20T15:32:10.000,39.201463724,-84.457677147,92.03333,0.0,0.0,0.0,18.0
143,Bhr05 Wednesday ,2024-03-20T15:33:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
144,Bhr05 Wednesday ,2024-03-20T15:34:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
145,Bhr05 Wednesday ,2024-03-20T15:35:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
146,Bhr05 Wednesday ,2024-03-20T15:36:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
147,Bhr05 Wednesday ,2024-03-20T15:37:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
148,Bhr05 Wednesday ,2024-03-20T15:38:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
149,Bhr05 Wednesday ,2024-03-20T15:39:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
150,Bhr05 Wednesday ,2024-03-20T15:40:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
151,Bhr05 Wednesday ,2024-03-20T15:41:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
152,Bhr05 Wednesday ,2024-03-20T15:42:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
153,Bhr05 Wednesday ,2024-03-20T15:43:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
154,Bhr05 Wednesday ,2024-03-20T15:44:10.000,39.201463724,-84.457677147,92.0,0.0,0.0,0.0,18.0
